iteration,x,value,error,value_error
82,-1.00000000285422,-1.0,2.8542199714820526e-09,0.0
83,-1.00000000285422,-1.0,2.8542199714820526e-09,0.0
84,-1.00000000285422,-1.0,2.8542199714820526e-09,0.0
85,-1.00000000285422,-1.0,2.8542199714820526e-09,0.0
86,-1.00000000285422,-1.0,2.8542199714820526e-09,0.0
87,-1.00000000285422,-1.0,2.8542199714820526e-09,0.0
88,-1.00000000285422,-1.0,2.8542199714820526e-09,0.0
89,-1.00000000285422,-1.0,2.8542199714820526e-09,0.0
90,-1.00000000285422,-1.0,2.8542199714820526e-09,0.0
91,-1.00000000285422,-1.0,2.8542199714820526e-09,0.0
92,-1.00000000285422,-1.0,2.8542199714820526e-09,0.0
93,-1.00000000285422,-1.0,2.8542199714820526e-09,0.0
94,-1.00000000285422,-1.0,2.8542199714820526e-09,0.0
95,-1.00000000285422,-1.0,2.8542199714820526e-09,0.0
96,-1.00000000285422,-1.0,2.8542199714820526e-09,0.0
97,-1.00000000285422,-1.0,2.8542199714820526e-09,0.0
98,-1.00000000285422,-1.0,2.8542199714820526e-09,0.0
99,-1.00000000285422,-1.0,2.8542199714820526e-09,0.0
100,-1.00000000285422,-1.0,2.8542199714820526e-09,0.0
